"","eruptionID","geyser","eruption_time_epoch","has_seconds","exact","ns","ie","E","A","wc","ini","maj","min","q","duration","entrant","observer","eruption_comment","time_updated","time_entered","associated_primaryID","other_comments","Old_Faithful_Preplay_Time_VEC","Old_Faithful_Height_VEC"
"121","23719","Old Faithful","11735160",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335330027,1335330027,23719,"NULL","NULL","NULL"
"122","23720","Old Faithful","11739480",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335330027,1335330027,23720,"NULL","NULL","NULL"
"123","23721","Old Faithful","11743560",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335330027,1335330027,23721,"NULL","NULL","NULL"
"124","23723","Old Faithful","11802360",0,"1","0","0",0,0,0,0,0,1,0,"3.25m","BoekelUpload","OFVCL-EV","",1335330080,1335330080,23723,"NULL","NULL","NULL"
"125","23724","Old Faithful","11807040",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335330080,1335330080,23724,"NULL","NULL","NULL"
"126","23725","Old Faithful","11811000",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335330080,1335330080,23725,"NULL","NULL","NULL"
"127","23726","Old Faithful","11815500",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335330080,1335330080,23726,"NULL","NULL","NULL"
"128","23727","Old Faithful","11819220",0,"1","0","0",0,0,0,0,1,0,0,"4.25m","BoekelUpload","OFVCL-EV","",1335330080,1335330080,23727,"NULL","NULL","NULL"
"129","23728","Old Faithful","11823300",0,"1","0","0",0,0,0,0,0,1,0,"2.25m","BoekelUpload","OFVCL-EV","",1335330080,1335330080,23728,"NULL","NULL","NULL"
"130","23729","Old Faithful","11827620",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335330080,1335330080,23729,"NULL","NULL","NULL"
"131","23730","Old Faithful","11830440",0,"1","0","0",0,0,0,0,1,0,0,"4.25m","BoekelUpload","OFVCL-EV","",1335330080,1335330080,23730,"NULL","NULL","NULL"
"132","23731","Old Faithful","11835240",0,"1","0","0",0,0,0,0,0,1,0,"3m","BoekelUpload","OFVCL-EV","",1335330080,1335330080,23731,"NULL","NULL","NULL"
"133","23732","Old Faithful","11838660",0,"1","0","0",0,0,0,0,1,0,0,"4.5m","BoekelUpload","OFVCL-EV","",1335330080,1335330080,23732,"NULL","NULL","NULL"
"134","23733","Old Faithful","11843040",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335330080,1335330080,23733,"NULL","NULL","NULL"
"135","23734","Old Faithful","11847180",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335330080,1335330080,23734,"NULL","NULL","NULL"
"136","23738","Old Faithful","11886960",0,"1","0","0",0,0,0,0,0,0,0,"4m","BoekelUpload","OFVCL-EV","",1335330443,1335330443,23738,"NULL","NULL","NULL"
"137","23739","Old Faithful","11891100",0,"1","0","0",0,0,0,0,0,0,0,"2m","BoekelUpload","OFVCL-EV","",1335330443,1335330443,23739,"NULL","NULL","NULL"
"138","23740","Old Faithful","11894280",0,"1","0","0",0,0,0,0,0,0,0,"4m","BoekelUpload","OFVCL-EV","",1335330443,1335330443,23740,"NULL","NULL","NULL"
"139","23741","Old Faithful","11898540",0,"1","0","0",0,0,0,0,0,0,0,"3.75m","BoekelUpload","OFVCL-EV","",1335330443,1335330443,23741,"NULL","NULL","NULL"
"140","23742","Old Faithful","11906640",0,"1","0","0",0,0,0,0,0,0,0,"2.75m","BoekelUpload","OFVCL-EV","",1335330443,1335330443,23742,"NULL","NULL","NULL"
"141","23743","Old Faithful","11910600",0,"1","0","0",0,0,0,0,0,0,0,"3.5m","BoekelUpload","OFVCL-EV","",1335330443,1335330443,23743,"NULL","NULL","NULL"
"142","23744","Old Faithful","11914920",0,"1","0","0",0,0,0,0,0,0,0,"2m","BoekelUpload","OFVCL-EV","",1335330443,1335330443,23744,"NULL","NULL","NULL"
